"hfpxzc href","qBF1Pd","W4Efsd","W4Efsd 2","W4Efsd 3","Cw1rxd","R8c4Qb"
"https://www.google.com/maps/place/Pasar+Sekip+Ujung+Palembang/data=!4m7!3m6!1s0x2e3b768070ed529d:0x2f7a9a290dc480f9!8m2!3d-2.95672!4d104.75398!16s%2Fg%2F11tfp5s9cc!19sChIJnVLtcIB2Oy4R-YDEDSmaei8?authuser=0&hl=id&rclk=1","Pasar Sekip Ujung Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Halte+SPBU+Koko+B+%2F+Gunung+Meru/data=!4m7!3m6!1s0x54504471dffc1ef:0xe15a5c25f35a50c4!8m2!3d-2.9909909!4d104.7860149!16s%2Fg%2F11b7hmd1ss!19sChIJ78H_HUcERQURxFBa8yVcWuE?authuser=0&hl=id&rclk=1","Halte SPBU Koko B / Gunung Meru","Perhentian bus","·","Jl. Jenderal Ahmad Yani","","Rute"
"https://www.google.com/maps/place/Kantor+Pos+Palembang+Kenten/data=!4m7!3m6!1s0x2e3b76bc2fde6b13:0x1d3af258384dbd7e!8m2!3d-2.934469!4d104.768885!16s%2Fg%2F11gh1nb92f!19sChIJE2veL7x2Oy4Rfr1NOFjyOh0?authuser=0&hl=id&rclk=1","Kantor Pos Palembang Kenten","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Pasca+Sarjana+B/data=!4m7!3m6!1s0x2e3b75f34bff044b:0x55cc16f25e9cd812!8m2!3d-2.990354!4d104.7290627!16s%2Fg%2F11b77jlj_j!19sChIJSwT_S_N1Oy4REticXvIWzFU?authuser=0&hl=id&rclk=1","Pasca Sarjana B","Perhentian bus","·","Jl. Srijaya Negara","","Rute"
"https://www.google.com/maps/place/Stasiun+LRT+Terpadu+Ampera/data=!4m7!3m6!1s0x2e3b7604e29a2251:0xf6dd20e431484ed9!8m2!3d-2.98841!4d104.76169!16s%2Fg%2F11s7_3_f8z!19sChIJUSKa4gR2Oy4R2U5IMeQg3fY?authuser=0&hl=id&rclk=1","Stasiun LRT Terpadu Ampera","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/SMA+11+Palembang+2/data=!4m7!3m6!1s0x2e3b75a569e01317:0xceb71e7c14ff2ef!8m2!3d-2.96805!4d104.71558!16s%2Fg%2F11gh1nddzv!19sChIJFxPgaaV1Oy4R7_JPwedx6ww?authuser=0&hl=id&rclk=1","SMA 11 Palembang 2","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Pool+Agra+Mas+KM+12+Palembang/data=!4m7!3m6!1s0x2e3b7366a5eb9c95:0xbee991406ef6f1f3!8m2!3d-2.9136342!4d104.6874929!16s%2Fg%2F11x93p2105!19sChIJlZzrpWZzOy4R8_H2bkCR6b4?authuser=0&hl=id&rclk=1","Pool Agra Mas KM 12 Palembang","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Palembang+Trade+Center/data=!4m7!3m6!1s0x2e3b7685cfc1698b:0x9d0c035c91df0de1!8m2!3d-2.951376!4d104.7614662!16s%2Fg%2F11ykfrcqgc!19sChIJi2nBz4V2Oy4R4Q3fkVwDDJ0?authuser=0&hl=id&rclk=1","Palembang Trade Center","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Stasiun+LRT+Asrama+Haji+A/data=!4m7!3m6!1s0x2e3b7478b422e37b:0x37df72a237bd45b7!8m2!3d-2.91976!4d104.7116!16s%2Fg%2F11s8c17jtf!19sChIJe-MitHh0Oy4Rt0W9N6Jy3zc?authuser=0&hl=id&rclk=1","Stasiun LRT Asrama Haji A","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Halte+Rumah+Bari/data=!4m7!3m6!1s0x2e3b76015112904b:0x63b8ec57d75ad1da!8m2!3d-2.9912449!4d104.75743!16s%2Fg%2F11b77stgb3!19sChIJS5ASUQF2Oy4R2tFa11fsuGM?authuser=0&hl=id&rclk=1","Halte Rumah Bari","Perhentian bus","·","Jl. Rumah Bari","","Rute"
"https://www.google.com/maps/place/Halte+PT.+ALI+B/data=!4m7!3m6!1s0x2e3b9de0dd828e0d:0xf94300e4c6b4a!8m2!3d-3.013126!4d104.756499!16s%2Fg%2F11b7jfrp40!19sChIJDY6C3eCdOy4RSmtMDjCUDwA?authuser=0&hl=id&rclk=1","Halte PT. ALI B","Perhentian bus","·","Jl. Lintas Sumatera","","Rute"
"https://www.google.com/maps/place/Universitas+Terbuka/data=!4m7!3m6!1s0x2e3b747efcdb8fb3:0xb659e1a5e6bce53f!8m2!3d-2.92145!4d104.70901!16s%2Fg%2F11kb3h8hzb!19sChIJs4_b_H50Oy4RP-W85qXhWbY?authuser=0&hl=id&rclk=1","Universitas Terbuka","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/Lemabang+B/data=!4m7!3m6!1s0x2e3b76467ff5198b:0x34365c67b9931d4c!8m2!3d-2.9711856!4d104.7842216!16s%2Fg%2F11gh1nc434!19sChIJixn1f0Z2Oy4RTB2TuWdcNjQ?authuser=0&hl=id&rclk=1","Lemabang B","Perhentian bus","","","","Rute"
"https://www.google.com/maps/place/RS+Siti+Khodija+A/data=!4m7!3m6!1s0x2e3b75c7244eeef3:0x9c074254e19ccba5!8m2!3d-2.97101!4d104.7312!16s%2Fg%2F11b7c1y70k!19sChIJ8-5OJMd1Oy4Rpcuc4VRCB5w?authuser=0&hl=id&rclk=1","RS Siti Khodija A","Perhentian bus","·","Jl. Demang Lebar Daun","","Rute"
"https://www.google.com/maps/place/Griya+Hero+Abadi+A/data=!4m7!3m6!1s0x2e3b748de25db117:0xeeef290a73e47415!8m2!3d-2.9337512!4d104.6950854!16s%2Fg%2F11bydjmsp5!19sChIJF7Fd4o10Oy4RFXTkcwop7-4?authuser=0&hl=id&rclk=1","Griya Hero Abadi A","Perhentian bus","·","Jl. Bypass Alang-Alang Lebar","","Rute"
